,adress,coordinates
23561,"Москва, Страстной бульвар, 7с2",55.7674966 37.6081557
23562,"Москва, Ташкентская улица, 28с4",55.6999822 37.8056764
23563,"Москва, Волгоградский проспект, 61",55.7102743 37.7350035
23564,"Москва, Щербинка, улица Космонавтов, 1Б, стр. 30",55.5214744 37.5208117
23565,"Москва, Малая Бронная улица",55.7626125 37.5950086
23566,"Москва, Курьяновская набережная, 37",55.647158 37.691908
23567,"Москва, Варшавское шоссе, 46А, стр. 4",55.669087 37.623663
23568,"Москва, Ленинский проспект, 77к1",55.685782 37.543201
23569,"Москва, поселение Мосрентген, улица Адмирала Корнилова, вл5",55.6156085 37.4478224
23570,"Москва, улица Борисовские Пруды, 20, корп. 3А",55.6373495 37.7545434
23571,"Москва, Черноморский бульвар, 4к2",55.6468484 37.6159372
23572,"Москва, улица Маросейка, 13, стр. 2",55.7583892 37.6365026
23573,"Москва, Павелецкая набережная, 2, стр. 17",55.7155937 37.6445671
23574,"Москва, Трубная улица, 18",55.7694944 37.6253123
23575,"Москва, Озёрная улица, 50",55.6647196 37.4372193
23576,"Москва, Окская улица, 36, корп. 1",55.7156408 37.7714419
23577,"Москва, улица Большая Якиманка, 42с1-2, подъезд 3",55.7358663 37.6138456
23578,"Москва, проспект Мира, 119с417",55.8334565 37.6314575
23579,"Москва, улица Поляны, 50с1",55.554308 37.52501
23580,"Москва, улица Пресненский Вал, 14, корп. 1",55.766552 37.568749
23581,"Москва, Юго-Западный административный округ, район Котловка, жилой комплекс Энитео, к1",55.4846387 37.3067639
23582,"Москва, 4-й Сыромятнический переулок, 1/8с12",55.7567153 37.6657649
23583,"Москва, Дмитровское шоссе, 62, стр. 4",55.853541 37.565605
23584,"Москва, Малая Почтовая улица, 2/2с1",55.770202 37.6861139
23585,"Москва, Открытое шоссе, 3, корп. 1",55.8117225 37.7322066
23586,"Москва, ш. Волоколамское",55.824689 37.432669
23587,"Москва, Новоалексеевская улица, 16, корп. 4",55.8063146 37.6480643
23588,"Москва, Перовский проезд, 3, стр. 21",55.742762 37.715911
23589,"Москва, Скотопрогонная улица, 29/1",55.7305046 37.6954763
23590,"Москва, проспект Маршала Жукова, 42, стр. 1",55.776828 37.470405
23591,"Москва, улица Плеханова, 17, стр. 6",55.7483958 37.7654639
23592,"Москва, Нижний Кисельный переулок, 4",55.7650657 37.6220436
23593,"Москва, Даниловская набережная, 2, корп. 1",55.7082053 37.643286
23594,"Москва, Зеленоградский административный округ, овраг Лисьи Горы",55.7540471 37.620405
23595,"Москва, улица Маршала Рыбалко, 2к3",55.798465 37.49471
23596,"Москва, улица Академика Пилюгина, 2",55.6740647 37.5420862
23597,"Москва, Южный административный округ, район Москворечье-Сабурово, Каширское шоссе 49 стр 24",55.6433805 37.6836335
23598,"Москва, Белореченская улица, 39",55.6642153 37.7719183
23599,"Москва, Молодогвардейская улица, 61, стр. 20",55.7317042 37.3937791
23600,"Москва, Краснодонская улица, 13, корп. 2",55.6814907 37.7499958
23601,"Москва, Малая Филёвская улица, 22",55.736615 37.466009
23602,"Москва, Научный проезд, 15, стр. 1",55.6571463 37.554979
23603,"Москва, Профсоюзная улица, 86с3",55.653111 37.532834
23604,"Москва, Большая Юшуньская улица, 7",55.6463 37.5905967
23605,"Москва, Ленинский проспект, 27, стр. 2",55.715819 37.594019
23606,"Москва, Абрамцевская улица, 30, стр. 3",55.9064324 37.575533
23607,"Москва, улица Вавилова, 64/1с2",55.68429 37.550082
23608,"Москва, улица Мичуринский Проспект, Олимпийская Деревня, 3",55.6763111 37.4671579
23609,"Москва, улица Лобачевского, 112А, стр. 2",55.690035 37.472895
23610,"Москва, Яковоапостольский переулок, 17",55.7593559 37.6561971
23611,"Москва, Зеленодольская улица, 18к1",55.7132688 37.7798749
23612,"Москва, посёлок Коммунарка, улица Александры Монаховой, 84, корп. 4",55.54511 37.481154
23613,"Москва, Мясницкая улица, 32с2",55.7654394 37.6395443
23614,"Москва, улица Перерва, 62, корп. 1",55.66434 37.764986
23615,"Москва, Авиамоторная улица, 65, стр. 4",55.7379778 37.7225892
23616,"Москва, Северянинский проезд, 9, стр. 1",55.842054 37.677373
23617,"Москва, поселение Десёновское, Калужское шоссе, 35-й километр, 1А",55.524891 37.3880327
23618,"Москва, Брянская улица, 3",55.7441415 37.5628713
23619,"Москва, Западный административный округ, район Проспект Вернадского, территория парка имени 50-летия Октября",55.755649 37.6151042
23620,"Москва, улица Гришина, 14",55.722952 37.4193795
23621,"Москва, улица Гамалеи, 5",55.798116 37.4619227
23622,"Москва, поселение Марушкинское, деревня Шарапово, Боровское шоссе",55.5832185 37.1754038
23623,"Москва, Большой Спасоглинищевский переулок, 9/1с16А",55.7544595 37.637318
23624,"Москва, улица Юности, 2, стр. 10",55.735192 37.8112606
23625,"Москва, Варшавское шоссе, 170Ек5",55.701166 37.622792
23626,"Москва, Цветной бульвар, 30, стр. 11",55.7724628 37.623056
23627,"Москва, улица Цюрупы, 6",55.6715012 37.5767509
23628,"Москва, проспект Вернадского, 105к3",55.663811 37.484864
23629,"Москва, Фрунзенская набережная, 16к1",55.730202 37.5924153
23630,"Москва, улица Молдагуловой, 34А",55.7178039 37.8361586
23631,"Москва, 2-й Грайвороновский проезд, 4, стр. 3",55.7237129 37.7327841
23632,"Москва, поселение Первомайское, деревня Пучково, улица Светлая Поляна, 129",55.499963 37.2631448
23633,"Москва, Уральская улица, 1, корп. 1",55.8119767 37.7964906
23634,"Москва, Загорьевский проезд, 11А, стр. 3",55.5770655 37.6776944
23635,"Москва, улица Яблочкова, 24А",55.8234367 37.5808662
23636,"Москва, проезд Шломина, 6",55.7497366 37.5814745
23637,"Москва, проспект Вернадского, 86Б, стр. 1",55.662242 37.48031
23638,"Москва, Прямой переулок, 3, стр. 1",55.7507996 37.5793929
23639,"Москва, Боровское шоссе, 18, корп. 2",55.650175 37.36979
23640,"Москва, 3-й проезд Марьиной Рощи, 40, стр. 11",55.7968874 37.6100565
23641,"Москва, улица Шаболовка, 37",55.7181853 37.6102147
23642,"Москва, поселение Краснопахорское, Калужское шоссе, 45-й километр, 4А",55.4282263 37.2739592
23643,"Москва, улица Кадырова, 4, корп. 1",55.5379611 37.5126997
23644,"Москва, бульвар Адмирала Ушакова, вл1с1",55.5477188 37.5535117
23645,"Москва, поселение Московский, посёлок Института Полиомиелита, 4",55.6004805 37.3332359
23646,"Москва, Самокатная улица, 4с1",55.7556507 37.6773738
